ds,Close,High,Low,Open,Adj Close,Volume
17-11-2011,53.915714,54.939999,53.642857,54.854286,46.801037,119975100
18-11-2011,53.562859,54.284286,53.554287,54.131428,46.494747,92984500
21-11-2011,52.715714,53.097141,52.272858,52.914288,45.759399,111995100
22-11-2011,53.787144,53.990002,52.991428,53.002857,46.689438,102255300
23-11-2011,52.427143,53.691429,52.41143,53.501427,45.5089,107067800
25-11-2011,51.938572,53.021427,51.902859,52.631428,45.084801,63690200
28-11-2011,53.73143,53.817142,52.904285,53.192856,46.641071,86603300
29-11-2011,53.314285,54.118572,52.885715,53.691429,46.278976,93963800
30-11-2011,54.599998,54.611427,54.042858,54.470001,47.395027,101484600
01-12-2011,55.418571,55.57143,54.392857,54.648571,48.105583,96795300
02-12-2011,55.671429,56.232857,55.511429,55.689999,48.325073,94763900
05-12-2011,56.144287,56.630001,55.77,56.212856,48.735531,89302500
06-12-2011,55.849998,56.375713,55.625713,56.072857,48.480083,70899500
07-12-2011,55.584286,55.848572,55.251427,55.704285,48.249424,76186600
08-12-2011,55.808571,56.5,55.747143,55.921429,48.444118,94089100
09-12-2011,56.23143,56.291428,55.861427,56.121429,48.81118,74248300
12-12-2011,55.977142,56.271427,55.635715,55.954285,48.590443,75266800
13-12-2011,55.544285,56.485714,55.299999,56.142857,48.21471,84732200
14-12-2011,54.312859,55.34,53.954285,55.242859,47.145782,101721900
15-12-2011,54.134285,54.82,54.044285,54.761429,46.990784,64050000
16-12-2011,54.431427,54.878571,54.224285,54.337143,47.248707,105369600
19-12-2011,54.601429,54.978573,54.354286,54.638573,47.396271,58882600
20-12-2011,56.564285,56.585712,55.322857,55.394287,49.100113,84303800
21-12-2011,56.635715,56.757141,56.001427,56.669998,49.162125,65737000
22-12-2011,56.935715,57.01857,56.585712,56.714287,49.422523,50589700
23-12-2011,57.618572,57.655716,57.07,57.098572,50.015266,67349800
27-12-2011,58.075714,58.441429,57.574287,57.585712,50.412094,66269000
28-12-2011,57.52,58.32143,57.334286,58.127144,49.929707,57165500
29-12-2011,57.874287,57.950001,57.215714,57.628571,50.237251,53994500
30-12-2011,57.857143,58.040001,57.64143,57.644287,50.222366,44915500
03-01-2012,58.747143,58.92857,58.42857,58.485714,50.994907,75555200
04-01-2012,59.062859,59.240002,58.468571,58.57143,51.26897,65005500
05-01-2012,59.718571,59.792858,58.952858,59.278572,51.838169,67817400
06-01-2012,60.342857,60.392857,59.888573,59.967144,52.380054,79573200
